FLIGHT_ID,UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,YEAR,AIRCRAFT_TYPE,CLASS
846,0A875,11292,11423,2017,614,F
847,0A875,11292,13342,2017,614,F
848,0A875,11292,13871,2017,614,F
849,0A875,11292,13891,2017,614,F
850,0A875,11292,15304,2017,694,F
851,0A875,13204,11292,2017,634,F
852,0A875,14492,11292,2017,698,F
853,0A875,14679,11292,2017,694,F
854,6460,10849,11292,2017,698,F
855,6460,11003,11292,2017,694,F
856,6460,11292,10849,2017,698,F
857,6460,11292,11003,2017,694,F
858,6460,11292,11995,2017,698,F
859,6460,11292,14747,2017,698,F
860,6460,11995,11292,2017,698,F
861,6460,14747,11292,2017,698,F
862,6200,13796,11292,2017,622,G
863,6700,11003,11292,2017,629,F
864,0A875,10620,11292,2017,694,F
865,0A875,11292,10423,2017,614,F
866,0A875,11292,14679,2017,614,F
867,0A875,11423,11292,2017,614,F
868,0A875,12266,11292,2017,698,F
869,0A875,13871,11292,2017,614,F
870,0A875,13891,11292,2017,614,F
871,0A875,14831,11292,2017,614,F
872,6725,11259,11292,2017,619,F
873,6725,11697,11292,2017,614,F
874,6460,10693,11292,2017,699,F
875,6460,11292,10693,2017,699,F
876,6700,11109,14747,2017,673,F
877,6700,11603,11292,2017,629,F
878,6700,14747,11109,2017,673,F
879,0A875,10140,11292,2017,614,F
880,0A875,11292,14122,2017,614,F
881,0A875,13871,11292,2017,634,F
882,0A875,14122,11292,2017,614,F
883,6003,11423,11292,2017,677,F
884,6460,11292,13485,2017,694,F
885,6460,13485,11292,2017,694,F
886,6200,11292,13244,2017,732,G
887,6904,11292,12003,2017,675,F
888,6904,11292,15919,2017,675,F
889,6904,15919,11292,2017,675,F
890,6580,11109,14747,2017,673,F
891,6580,14747,11109,2017,673,F
892,1260,11433,11292,2017,888,F
893,6700,11292,13367,2017,629,F
894,0A875,11292,10140,2017,614,F
895,0A875,12889,11292,2017,694,F
896,0A875,12953,11292,2017,698,F
897,0A875,14747,11292,2017,614,F
898,0A875,14893,11292,2017,614,F
899,6003,13244,11292,2017,677,F
900,6460,10693,11292,2017,694,F
901,6460,11292,10693,2017,694,F
902,6460,11292,13486,2017,698,F
903,6460,11292,15412,2017,698,F
904,6460,13486,11292,2017,698,F
905,6460,15412,11292,2017,698,F
906,6200,11921,11638,2017,622,G
907,6200,11921,13244,2017,622,G
908,6200,13244,11292,2017,622,G
909,6200,13244,11292,2017,732,G
910,6200,13244,11921,2017,622,G
911,6904,12003,11292,2017,675,F
912,6904,12992,11292,2017,675,F
913,1177,10950,14107,2017,458,F
914,1177,14107,10950,2017,458,F
915,1260,11292,13487,2017,622,F
916,1260,11433,11292,2017,622,F
917,7041,15370,11292,2017,631,F
918,6700,10140,11292,2017,673,F
919,6700,11292,13198,2017,631,F
920,6700,11292,14262,2017,673,F
921,6700,11540,11292,2017,631,F
922,6700,14262,11292,2017,673,F
923,0A875,11066,11292,2017,698,F
924,0A875,11292,10140,2017,634,F
925,0A875,11292,11042,2017,634,F
926,0A875,11292,12339,2017,634,F
927,0A875,11292,12889,2017,694,F
928,0A875,13264,11292,2017,698,F
929,0A875,13495,11292,2017,614,F
930,0A875,14122,11292,2017,634,F
931,0A875,14831,11292,2017,634,F
932,6725,11292,11259,2017,619,F
933,6460,11292,14057,2017,698,F
934,6460,11292,14747,2017,694,F
935,6460,14057,11292,2017,698,F
936,6460,14747,11292,2017,694,F
937,6904,11292,13367,2017,675,F
938,6700,11292,11540,2017,631,F
939,6700,11292,11603,2017,673,F
940,6700,11292,15919,2017,631,F
941,6700,11603,11292,2017,673,F
942,6700,12278,11292,2017,631,F
943,0A875,10140,11292,2017,634,F
944,0A875,11292,10821,2017,614,F
945,0A875,11292,11066,2017,698,F
946,0A875,11292,12266,2017,698,F
947,0A875,11292,14122,2017,634,F
948,0A875,11292,14831,2017,614,F
949,0A875,11292,14831,2017,698,F
950,0A875,11292,14869,2017,694,F
951,0A875,11292,15016,2017,694,F
952,0A875,14869,11292,2017,694,F
953,0A875,15304,11292,2017,634,F
954,6725,11292,12889,2017,614,F
955,6003,11292,15370,2017,677,F
956,6904,11109,11292,2017,675,F
957,6904,11292,11109,2017,675,F
958,6904,11423,11292,2017,675,F
959,6910,10620,11292,2017,691,G
960,6910,11292,10620,2017,691,G
961,6910,11292,13891,2017,691,G
962,6910,13891,11292,2017,691,G
963,6910,14512,11292,2017,691,G
964,6700,11292,12278,2017,631,F
965,6700,11292,14730,2017,631,F
966,6700,14457,11292,2017,673,F
967,0A875,10529,11292,2017,698,F
968,0A875,10849,11292,2017,698,F
969,0A875,11292,10849,2017,698,F
970,0A875,11292,13264,2017,698,F
971,0A875,11292,13495,2017,634,F
972,0A875,11292,14107,2017,614,F
973,0A875,11292,14570,2017,698,F
974,0A875,11292,14683,2017,634,F
975,0A875,11292,14771,2017,889,F
976,0A875,11775,11292,2017,698,F
977,0A875,11884,11292,2017,614,F
978,0A875,14570,11292,2017,698,F
979,0A875,14771,11292,2017,889,F
980,0A875,15304,11292,2017,694,F
981,6003,10140,11292,2017,677,F
982,6003,11292,10140,2017,677,F
983,6003,11292,11042,2017,677,F
984,6003,11292,14869,2017,677,F
985,6003,13198,11292,2017,677,F
986,6460,11109,13930,2017,698,F
987,6200,10194,11292,2017,622,G
988,6200,11292,10194,2017,622,G
989,6200,13244,11292,2017,691,G
990,7041,10397,11292,2017,631,F
991,7041,11292,13367,2017,631,F
992,7041,11292,13495,2017,631,F
993,6700,10372,14869,2017,631,F
994,6700,11267,11292,2017,673,F
995,6700,11292,13198,2017,673,F
996,6700,11292,15919,2017,629,F
997,6700,11298,11292,2017,631,F
998,6700,11638,11292,2017,673,F
999,6700,14107,11292,2017,673,F
1000,6700,14683,11292,2017,631,F
1001,0A875,10423,11292,2017,694,F
1002,0A875,11057,11292,2017,694,F
1003,0A875,11292,11057,2017,694,F
1004,0A875,11292,11775,2017,694,F
1005,0A875,11292,11775,2017,698,F
1006,0A875,11292,11884,2017,614,F
1007,0A875,11292,13198,2017,698,F
1008,0A875,11292,13851,2017,694,F
1009,0A875,11292,14122,2017,694,F
1010,0A875,11292,14679,2017,694,F
1011,0A875,11292,14683,2017,694,F
1012,0A875,11775,11292,2017,694,F
1013,6725,11292,11042,2017,614,F
1014,6460,11292,11423,2017,694,F
1015,6460,11423,11292,2017,694,F
1016,6460,13930,11109,2017,698,F
1017,1260,13487,11292,2017,888,F
1018,7041,11292,12278,2017,631,F
1019,6700,10713,11292,2017,629,F
1020,6700,11292,10140,2017,673,F
1021,6700,11292,15016,2017,629,F
1022,6700,14869,10372,2017,631,F
1023,0A875,10397,11292,2017,614,F
1024,0A875,11292,11697,2017,694,F
1025,0A875,11292,13487,2017,614,F
1026,0A875,11292,13891,2017,698,F
1027,0A875,11292,14057,2017,694,F
1028,0A875,11292,14747,2017,698,F
1029,0A875,11292,14831,2017,634,F
1030,0A875,11292,15304,2017,634,F
1031,0A875,11986,11292,2017,698,F
1032,0A875,13198,11292,2017,698,F
